"Товар","","","","","Выручка и продажи","","","Работа с остатками","","","","Ценообразование","","","","Продвижение","","",""
"Название","SKU","Продавец","Бренд","Страна","Выручка, ₽","Средняя дневная выручка","Продажи, кол-во","Наличие","Оборачиваемость","Замороженный остаток, %","График количества складов","Базовая цена","Скидка","Цена со скидкой","График изменения цены","Дробный рейтинг","Отзывы","Дней на маркетплейсе","Средняя рекламная ставка"
"MateBook D16 MitchellF-W5851 16″ FHD i5 8 512 Win","260493207","ООО ВБ Ритейл","Huawei","","233605","7786.833333333333","5","95","57","21.05","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1","54799","14","46721","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46721,46721,46721","0","0","4","0"
"Ноутбук игровой, мощный, для работы, учёбы, дома, 12ГБ","173282423","ИП Степанян С С","DogiFlaps","Китай","1930544","64351.46666666667","60","94","45.43","1.06","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1","49990","36","31748","34358,35227,34358,34358,34358,34358,34358,33488,33488,33488,33488,33488,33488,33488,33488,32618,31313,31313,31748,31748,31313,31313,31313,32183,32618,31748,31748,31748,31748,31748","4.8","163","387","313"
"IdeaPad Slim 3 16IRU8 16""/FHD/i5/8/512/DOS","243777990","ООО ВБ Ритейл","lenovo","Китай","0","0","0","93","-1","100","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","60999","21","47762","48787,48787,48787,48787,48787,48787,48787,48787,48787,48787,48787,48787,48787,48787,48787,48787,48787,48787,49354,49354,49354,49354,48823,48823,48823,48292,48292,48292,47762,47762","0","0","64","0"
"Ноутбук Acer A315-58 15.6/i5/4Gb/256Gb/noOS(NX.AL0ER.008)","149769898","ООО Вайлдберриз","Acer","","205692","6856.4","6","92","460","90.22","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","56200","45","30910","44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,44398,39340,38216,38216,35406,35406,35406,33720,33720,33720,33720,33720,33720,33720,30910,30910","0","0","502","0"
"Nitro 5 AN515 15.6""/FHD/Ryzen 7/16/512/RTX 3060/DOS","172331056","ООО ВБ Ритейл","Acer","","0","0","0","91","-1","100","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","165000","29","116358","117810,117810,117810,116407,116407,115005,115005,115005,115005,115005,115005,115005,115005,115005,115005,116407,116407,116407,117777,117777,117777,117777,117777,117777,117777,117777,117777,117777,116358,116358","5","4","393","0"
"MacBook Air 13/M2/8/512 (Space Grey)","175879991","ООО ВБ Ритейл","Apple","Китай","0","0","0","90","-1","100","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","199990","35","128993","130893,130893,130893,130893,130893,130893,130893,130893,127493,127493,127493,127493,127493,127493,127493,132593,132593,132593,134153,134153,134153,134153,128993,128993,128993,128993,128993,128993,128993,128993","4.8","35","376","0"
"MacBook Air 13/M2/8/256 (Space Grey)","172232336","ООО ВБ Ритейл","Apple","Китай","97913","3263.766666666667","1","87","2610","98.85","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","159990","38","99065","97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,99273,99273,99273,100441,100441,100441,100441,99065,99065,99065,99065,99065,99065,99065,99065","4.7","67","396","0"
"LOQ 15IRH8 15.6""/FHD/i5/16/512/RTX 3050/DOS","196222794","ООО ВБ Ритейл","lenovo","Китай","0","0","0","85","-1","100","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","116656","25","87282","89241,89241,89241,89241,89241,89241,89241,89241,86267,86267,86267,86267,86267,86267,86267,87258,87258,87258,88285,88285,88285,88285,88285,88285,88285,88285,88285,88285,87282,87282","5","1","213","0"
"Ноутбук для учебы и работы HTEX H16 Pro 4-Ядра 16ГБ/512 ГБ","210936066","ИП Квасова Л П","ТехноПульс","Китай","5052960","168432","230","84","8.4","0","0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","50000","55","22185","20460,20460,20010,20010,20010,21390,21390,21390,22320,22320,21750,21750,21750,23000,21750,21750,21750,21750,21750,21750,21750,22185,22185,22185,22185,22185,22185,22185,22185,22185","4.7","478","222","626"
"Ноутбук Vivobook 16X i5-12450H/8GB/512GB SSD/RTX 2050 4GB","227544788","ООО Дихаус Эком","Asus","Китай","2588806","86293.53333333334","40","83","62.25","27.71","0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2","74988","20","59990","63741,63741,63741,63741,63741,63741,63741,63741,64421,64421,64421,64421,64421,64421,64421,64421,64421,64421,64491,64491,64491,64491,64491,64491,63876,63876,63876,63876,74990,59990","5","10","144","651"
"Ноутбук A5820 Ryzen 3 3200U 8Gb SSD 256 Gb 15.6 IPS  W11Pro","244832933","ООО Рентсофт","Digma","Китай","273044","9101.466666666667","11","82","223.64","80.49","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","26532","13","23082","25304,25304,25304,25304,25304,25304,25304,25304,24534,24534,24534,24534,24534,24534,24534,24534,25305,25304,25595,25304,25304,25304,25304,24038,24038,24038,24038,24038,23082,23082","5","10","65","0"
"Aspire 3 A315 15.6""/FHD/Ryzen 5/8/512/Win","172331050","ООО ВБ Ритейл","Acer","","0","0","0","81","-1","100","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","73900","28","52749","54020,54020,54020,53392,53392,52764,52764,52764,52136,52136,52136,52136,52136,52136,52136,52136,52136,52136,52749,52749,52749,52749,52749,52749,52749,52749,52749,52749,52749,52749","3","2","393","0"
"Ноутбук для работы и учебы 15,6"" 4-ядра IPS 16Gb SSD 512 Gb","207324839","ИП Тихомирова Е Е","SkyX","Китай","14227237","474241.23333333334","496","80","4.84","0","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","47000","37","29440","28623,28623,28623,28623,28623,28623,28623,28623,28623,28623,28623,28623,28623,28623,28623,28623,28623,28623,28623,28623,28623,28623,28623,28623,29440,28623,28623,28623,28623,29440","4.8","495","219","668"
"Ноутбук для работы и учебы 15.6', 12GB DDR5, SSD 512GB","224511097","Family Shop","MTW","Китай","5974868","199162.26666666666","210","73","10.43","0","0,0,0,0,0,0,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","69000","59","27613","28814,29414,29414,28814,28814,28814,28814,28814,28214,28214,29835,29835,28214,27613,27613,30015,30015,30015,29414,29414,28214,28214,28214,27613,27613,27613,27613,27613,27613,27613","4.8","121","162","227"
"14"" 4-Ядра IPS 1920х1080 FHD RAM 8Gb SSD 256Gb","258150266","ИП Еременко Д А","Ноутбук","","39736","1324.5333333333333","2","73","255.5","82.19","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1","30450","34","19868","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19868,19868,19868,19868,19868,19868,19868","0","24","7","356"
"MacBook Air 15/M2/8/256 (Midnight)","172224657","ООО ВБ Ритейл","Apple","Китай","558485","18616.166666666668","5","73","438","90.41","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","149990","25","112222","110917,110917,110917,110917,110917,110917,110917,110917,109642,109642,109642,109642,109642,109642,109642,112192,112192,112192,113512,113512,113512,113512,112222,112222,112222,112222,112222,112222,112222,112222","4.8","48","396","0"
"Ноутбук A5820 Ryzen 3 3200U 8Gb SSD 512Gb 15.6  IPS W11Pro","244836076","ООО Рентсофт","DIGMA","Китай","313720","10457.333333333334","12","72","180","75","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","28300","13","24621","26992,26992,26992,26992,26992,26992,26992,26992,26170,26170,26170,26170,26170,26170,26170,26170,26243,26992,27302,26992,26992,26992,26992,25643,25643,25643,25643,25643,24621,24621","5","10","65","0"
"MacBook Air 13/M1/8/256 (Gold)","178246500","ООО ВБ Ритейл","Apple","Китай","1591092","53036.4","21","71","101.43","56.34","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","114990","33","76146","75260,75260,75260,75260,75260,75260,75260,75260,75260,75260,75260,75260,75260,75260,75260,75260,75260,75260,76146,76146,76146,76146,76146,76146,76146,76146,76146,76146,76146,76146","4.9","179","359","0"
"Vivobook 15X OLED 15.6""/2.8K/i5/8/512/Win","171178152","ООО ВБ Ритейл","Asus","Китай","151401","5046.7","2","71","1065","95.77","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","109990","31","75673","76663,76663,76663,75728,75728,75728,75728,75728,74793,74793,74793,74793,74793,74793,74793,75728,75728,74793,75673,75673,75673,75673,75673,75673,75673,75673,75673,75673,75673,75673","5","6","393","0"
"MacBook Air 13/M2/8/256 (Starlight)","193153890","ООО ВБ Ритейл","Apple","Китай","296251","9875.033333333333","3","70","700","94.29","0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2","159990","38","99065","97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,99273,99273,99273,100441,100441,100441,100441,99065,99065,99065,99065,99065,99065,99065,99065","4.7","67","292","0"
"Aspire 5 A515 15.6""/FHD/i7/16/512/Win","172331059","ООО ВБ Ритейл","Acer","","0","0","0","67","-1","100","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","141889","26","103720","106132,106132,106132,104926,104926,103720,103720,103720,102514,102514,102514,102514,102514,102514,102514,103720,103720,103720,104941,104941,104941,104941,104941,103720,103720,103720,103720,103720,103720,103720","4.59","7","393","0"
"Ноутбук для работы и учебы 15.6"" RAM 16GB SSD 512GB","247751397","ИП Тимонин Д Е","DT Retail","Китай","3405030","113501","126","67","15.95","0","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","62322","56","27110","26804,26804,26804,26804,26804,26804,26804,26804,27825,26793,27405,27405,27405,27405,27405,27826,27826,27826,27826,27826,27826,26926,26706,26706,26706,26706,26706,26706,24639,27110","4.9","134","54","746"
"Ноутбук EVE 15 C5403 15.6"" N4020 4ГБ SSD128ГБ W11","254931123","ООО Рентсофт","DIGMA","","74784","2492.8","4","66","346.5","86.36","0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","19990","13","17391","0,0,0,0,0,0,0,0,0,20001,20001,20001,20001,20001,20001,20001,20001,20001,20231,20001,20001,20001,20001,20001,17391,17391,17391,17391,17391,17391","0","37","21","0"
"Ноутбук  EVE C4801 N100 8Gb SSD 256 Gb 14"" IPS FHD W11Pro","247703540","ООО Рентсофт","DIGMA","Китай","70144","2338.133333333333","3","64","640","93.75","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","25363","13","22065","24351,24351,24351,24351,24351,24351,24351,24351,23130,23130,23130,23130,23130,23130,23130,23130,23035,24351,24631,24351,24351,24351,24351,22663,22663,22663,22663,22663,22065,22065","4.7","48","54","0"
"Ноутбук  EVE C5802 N100/8Gb SSD 256Gb 15.6"" IPS  W11Pro","244793683","ООО Рентсофт","DIGMA","Китай","99136","3304.5333333333333","4","63","472.5","90.48","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","26265","13","22850","25221,25221,25221,25221,25221,25221,25221,25221,23956,23956,23956,23956,23956,23956,23956,23956,25221,25221,25511,25221,25221,25221,25221,23473,23473,23473,23473,23473,22850,22850","5","37","61","0"
"Ноутбук 14"" 4-Ядра IPS 1920х1080 FHD RAM 8Gb SSD 256Gb","251204249","ИП Адескалица М С","Ноутбук","Китай","461570","15385.666666666666","24","63","23.62","0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1","30450","34","19868","18694,18694,18694,18694,18694,18694,18694,18694,18694,17984,17984,17984,17984,17984,17984,17984,17984,17984,18191,18191,18191,18191,17984,19868,19868,19868,19868,19868,19868,19868","5","41","44","250"
"Ноутбук 15.6"" IPS 4-Ядра RAM 16GB SSD 512GB (M.2)","196048385","ИП Булатов К А","Timio","Китай","7767103","258903.43333333332","277","61","6.61","0","0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2","99999","70","29439","27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27599,27599,27599,27599,27599,27599,27599,30359,30359,30359,27599,27599,28519,28519,28519,28519,28519,28519,28519,29439","4.7","690","285","653"
"MateBook D 14 MendelF-W5851D 14″ FHD i5 8 512 Win","260493208","ООО ВБ Ритейл","Huawei","","0","0","0","60","-1","100","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1","52999","14","45186","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45186,45186,45186","0","0","4","0"
"MacBook Air 15/M2/8/512 (Midnight)","172200664","ООО ВБ Ритейл","Apple","Китай","260001","8666.7","2","56","840","94.64","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","189990","30","132347","130808,130808,130808,130808,130808,130808,130808,130808,129193,129193,129193,129193,129193,129193,129193,132423,132423,132423,133980,133980,133980,133980,132347,132347,132347,132347,132347,132347,132347,132347","5","95","396","0"
"Ноутбук HP Ryzen 5-5500U/8Gb/SSD512Gb/15,6""/IPS/FHD/NoOS","110358612","ООО Вайлдберриз","HP","Китай","0","0","0","54","-1","100","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","105690","55","47560","80324,80324,80324,80324,80324,80324,80324,80324,80324,80324,80324,80324,80324,80324,80324,73983,70812,70812,65527,65527,65527,60243,60243,60243,49674,47560,47560,47560,47560,47560","4.9","7","824","0"
"MEGABOOK T1 16G + 512G(WIN11 5560U 14) Silver","261969460","Tecno Store","TECNO","","42621","1420.7","1","53","212","79.25","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1","48990","13","42621","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42621,42621,42621,42621","0","0","4","0"
"ThinkBook 16 G6 ABP 16""/FHD/Ryzen 5/16/512/DOS","227412426","ООО ВБ Ритейл","lenovo","","336849","11228.3","6","52","260","82.69","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","75475","25","56470","59021,59021,59021,59021,59021,59021,59021,55813,55813,55813,55813,55813,55813,55813,55813,55813,55813,55813,56470,56470,56470,56470,56470,56470,56470,56470,56470,56470,56470,56470","4.59","10","141","0"
"MEGABOOK T1 16G + 512G (WIN R7-5800U 15.6) Grey","261968917","Tecno Store","TECNO","","0","0","0","52","-1","100","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1","59990","13","52191","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52191,52191,52191,52191","0","0","4","0"
